,feature,Ranking
680,CCNJL,37
681,COL7A1,13
682,EXD2,72
683,NXT1,12
684,MAMSTR,91
685,DPP9,47
686,ZNF628,121
687,RAI2,90
688,DHRS7C,106
689,SUGT1L1,96
690,C2orf74,34
691,CST6,103
692,NLRP2,1
693,HSPA9.1,120
694,C2orf42,130
695,C15orf39,125
696,FADS6,94
697,ANKK1.1,116
698,KIF3A,16
699,AURKB,92
700,ALG14,102
701,GNA12,75
702,DKFZp779M0652,8
703,PTTG1,48
704,PUS7,58
705,KCTD12,69
706,COX6B1,81
707,OBFC2B,37
708,ASPG,115
709,ZNF488,126
710,TP53INP2,66
711,H3F3B,21
712,CCDC28A,24
713,C10orf95,21
714,CNOT10,95
715,ZNF394.1,37
716,TSGA14,131
717,FANCF,1
718,SPC25,7
719,CATSPER4,35
720,CDADC1,96
721,DNAL4.1,88
722,ZNF232,128
723,BARHL2,125
724,CCDC79,111
725,MED10,8
726,RSPH6A,109
727,ATP11B,8
728,REXO2,111
729,UCK2,10
730,RNF111,1
731,TMCC2,7
732,TMEM173,3
733,ZNF684.1,41
734,MTR,1
735,C12orf41,64
736,NTNG2,100
737,GRPEL1,121
738,AGBL2,3
739,HIVEP1,33
740,CDK4.1,56
741,CCDC99,39
742,CHST3,118
743,FAM174A,34
744,SART1,70
745,FLRT2,34
746,RAD18,122
747,ZNF229.1,72
748,PARP14,31
749,DDAH2,108
750,TMEM18,88
751,DNAH7,63
752,LOC100129066,45
753,MIIP,82
754,AFF4,23
755,MTERF,36
756,C3orf62,11
757,NEU3,57
758,RNFT1,5
759,CLPB,88
760,VRK1,1
761,IER5,28
762,C14orf135,85
763,RPS11,1
764,CPT2,75
765,GNA12.1,5
766,ACAT2,121
767,PYCRL,52
768,MDN1,116
769,EXOSC6,39
770,AKAP12,37
771,CBR4,57
772,JAGN1,126
773,LOC441666,56
774,FRY,36
775,CCDC116,122
776,LHX5,122
777,GAL3ST3,57
778,RPL24,99
779,NAP1L4,65
780,KCNN2,114
781,ALK,107
782,EPHX1,11
783,LIMD1,27
784,C3orf59,43
785,NIPAL4,116
786,ZNF193,79
787,UTF1,45
788,OGFR,86
789,PARP15,28
790,SEC23A,14
791,ZNF768,56
792,NACC2,76
793,C17orf55,105
794,IWS1.1,1
795,SMNDC1,46
796,RSPH1.1,75
797,FAM194B,39
798,CCK,83
799,CD93,32
800,ADAM10,96
801,LSM4,2
802,PRDM11,46
803,CCDC88B,91
804,B3GAT2,20
805,SFT2D3,36
806,C3orf1,105
807,HIST1H1E,3
808,MANF,55
809,DTD1,57
810,SNAPC4,38
811,CNDP2,101
812,TOB2,33
813,EIF4EBP2.1,121
814,UFM1,96
815,LIF,119
816,ZFP82,68
817,PRIMA1,91
818,ABCB7,26
819,NPC1,62
820,GALNT14,55
821,TASP1.1,26
822,BRD2,8
823,CALR,94
824,ARX,98
825,C1orf114,52
826,GRIN2B,89
827,RXFP4,20
828,TBC1D8,14
829,FDFT1,103
830,ASB8,19
831,RGNEF,36
832,UTP23,108
833,CYP4F22,104
834,FAM103A1,101
835,TOPBP1,67
836,YY1,74
837,HSPA12A,79
838,USP19,67
839,SLC25A35,1
840,GCHFR,1
841,CYR61,27
842,C20orf194,24
843,PDXK,1
844,TNN,102
845,MYLK4,92
846,ARRDC4,12
847,KLF12,118
848,PSMD7,66
849,HIST1H2BE,74
850,CYP2U1,102
851,SLC2A4,27
852,WFDC2,8
853,MEOX2.1,100
854,REV3L,87
855,WBP4,1
856,SEL1L.1,33
857,EFNB1,74
858,CCDC19,78
859,CBX7,60
860,SHD,20
861,SUSD2,111
862,C6orf115,125
863,AASS,70
864,CENPJ,22
865,NOTUM,35
866,MED21,27
867,PGS1.1,7
868,IRF2,118
869,ZNF134,36
870,SLU7,51
871,ANKRD26,119
872,FZR1,110
873,SEPHS1,75
874,GJA3,1
875,C17orf82.1,85
876,PCDH24,119
877,ZSWIM6,117
878,MREG,109
879,CCDC124,45
880,SH3BGRL3,29
881,SMO,6
882,GFRA3,111
883,RCBTB1,39
884,CCDC6,85
885,PPM1F,89
886,VIPR1,19
887,WDR19,69
888,HADH,79
889,ZNF766,120
890,KDELC2,83
891,ZNF862,123
892,IGSF10,45
893,DERA,119
894,1-Mar,20
895,OR1J4,1
896,FARSA,42
897,KDM6A,53
898,GIMAP8,71
899,PARVA,125
900,RAB19,17
901,AHR,66
902,IL13RA1,111
903,MAGEL2,92
904,UBE2T,69
905,C1orf31,26
906,C4orf49,89
907,C2orf39,106
908,FAM5B,72
909,KRI1.1,96
910,PA2G4,42
911,RNF44,84
912,HIST1H4J,77
913,CENPE,101
914,PL.5283,1
915,MYL5,26
916,CEBPG,99
917,MXRA5,100
918,C1orf159,92
919,RAD51AP2,115
920,CDK5RAP3,20
921,ADAMTS5,66
922,CUBN,1
923,NOL12,82
924,GPKOW,13
925,FLJ23834,1
926,VWC2,60
927,SORCS3,96
928,PPP1R3F,84
929,SNRPG,112
930,SNRPE,93
931,AARS,37
932,LOC285033,28
933,TOP2A,86
934,TTC12,14
935,BET1,77
936,CWF19L1,22
937,LOC647121,86
938,IFIT5,30
939,TP53INP2.1,30
940,SYNGR3,106
941,C17orf55.1,118
942,NUDT12,84
943,CALCOCO2,119
944,POLS,88
945,OLFML2B,39
946,MFSD6,37
947,NEURL3,8
948,CALCB,44
949,F2R,37
950,CAV1,114
951,LSG1,39
952,MIR192,1
953,MALAT1,1
954,RHOBTB2,116
955,SFT2D2,46
956,ZNF337,85
957,ABHD4,114
958,DUSP5,10
959,PARM1,80
960,ZNF280C,91
961,FYN.1,1
962,SDSL,84
963,FPR2,103
964,RAD54B,108
965,SNORD7,22
966,MAD2L1,98
967,ZNF175,1
968,USP36,10
969,M6PR,116
970,TTLL4,118
971,SLC33A1,71
972,MAN2A1,127
973,TXN2,1
974,HES1,47
975,SNX27,66
976,ENPP5,27
977,TTC4,40
978,C22orf41,38
979,C10orf76,57
980,HRNBP3,58
981,GIN1,100
982,DDX21,78
983,PYGB,76
984,TAGLN2,31
985,TM9SF4,7
986,MSX2P1,77
987,OR1I1,120
988,PLCH1,1
989,THAP3,38
990,ANAPC1,34
991,PGK1,67
992,ZNF582,40
993,CEP68,95
994,MMP2,16
995,COX19,104
996,HOXC13,82
997,EIF3E,79
998,BPNT1,85
999,CHD8,13
1000,STIM1,1
1001,MPPED2,43
1002,C12orf23,28
1003,M6PR.1,65
1004,HOXD12,55
1005,C1orf65,83
1006,KIF16B,69
1007,PAWR,27
1008,SPATS1,113
1009,DAB2,51
1010,THBS4,64
1011,C7orf55,48
1012,MAP3K13,46
1013,BASE,129
1014,ZNF337.1,1
1015,CELSR1,113
1016,IER5.1,46
1017,ZCCHC4,31
1018,SLC7A14,114
1019,PELP1,34
1020,MCC,10
1021,DNAJB1,47
1022,RPL22,23
1023,ABCB10,31
1024,UGT8,95
1025,C1GALT1,80
1026,MIAT,26
1027,ADAMTS5.1,49
1028,CNIH4,85
1029,TMEM185A,57
1030,LOC441666.1,51
1031,BSND,85
1032,SMC3,67
1033,ARMCX4,4
1034,ISM1,1
1035,KLHL11,98
1036,GFRA3.1,108
1037,LOC283999,85
1038,C3orf27,93
1039,PSG3,111
1040,RBM4,127
1041,ATP1B2,41
1042,ESCO1,69
1043,CAMTA1,111
1044,PPP2R5E,70
1045,BRF1,48
1046,TTLL13,65
1047,ZNF26,25
1048,C17orf97,73
1049,H1F0,96
1050,GPR161,18
1051,SPTY2D1,54
1052,ARHGAP22,1
1053,C15orf60.1,67
1054,ZBTB20,27
1055,TOMM34,7
1056,PSMA5,79
1057,MARCKS.1,78
1058,PRODH,50
1059,C7,56
1060,LOC401463,2
1061,PROCR,69
1062,RARA,1
1063,QSER1,89
1064,OLFML1,104
1065,LOC284233,6
1066,KIF3A.1,127
1067,PRDM14,69
1068,SYT9,45
1069,RASAL1,55
1070,ZNRF4,87
1071,C7orf55.1,53
1072,DNAJC14,131
1073,HTR2C,113
1074,NEURL3.1,58
1075,TMEM190,131
1076,IL17RA,1
1077,C10orf120,123
1078,GPR81,14
1079,PGCP,84
1080,BEND3,79
1081,C7orf44,81
1082,EFHC1,40
1083,PI4K2B,14
1084,TNK1,40
1085,SIPA1,107
1086,CXCR5.1,20
1087,DDX23.1,15
1088,C11orf65,1
1089,LOC100128554,93
1090,G2E3,65
1091,PDK2,1
1092,ZNF518B,26
1093,NXPH4,85
1094,GPR123,13
1095,KCNK15,9
1096,ZNF660,33
1097,EYA3,127
1098,GPS2,88
1099,BTBD3,131
1100,IDE,129
1101,SLC9A3,128
1102,LAG3,16
1103,DCAF12L2,118
1104,GGN,20
1105,STARD3NL,29
1106,EMILIN1,129
1107,MAN2A1.1,110
1108,EHD3,30
1109,SLC10A4,69
1110,C8orf74,25
1111,AZU1.1,47
1112,PDE7B.1,121
1113,ZNF586,46
1114,SLC22A15,86
1115,FANCF.1,61
1116,FGF9,29
1117,MAEL.1,65
1118,C1QBP,80
1119,FAAH,33
1120,GATAD2A,1
1121,FNDC1,1
1122,CHCHD2.1,56
1123,AP3B1,46
1124,PADI4,53
1125,GPR4,1
1126,FSTL4,88
1127,SPIN1,39
1128,BUB1,108
1129,SLAIN1.1,31
1130,FNTB,77
1131,BRMS1L,69
1132,EPHA1,34
1133,SOD1,94
1134,PRRC1,61
1135,LOC100133545.1,119
1136,SAC3D1,1
1137,RPL5,116
1138,PCDHB3,120
1139,SLC35F4,97
1140,RPL10A,130
1141,SGSM3,20
1142,DDX46,63
1143,VWA3A,57
1144,C15orf60.2,116
1145,NPY5R,82
1146,KCTD18,28
1147,ABLIM3,123
1148,ETNK2,10
1149,BET1.1,72
1150,C16orf62,9
1151,CHRNB2,102
1152,C4orf34,115
1153,MMP15,49
1154,NPY2R.1,46
1155,KIAA0947,6
1156,GUCA2A,1
1157,ART3,69
1158,APOBEC3C,125
1159,ZNF514,49
1160,WNT10B,95
1161,KIAA0907,121
1162,HIST1H4A,26
1163,RIF1,1
1164,CAMLG,91
1165,MIR184,45
1166,FARSA.1,45
1167,KHDRBS2,39
1168,TRIM59,68
1169,DNAJC3,42
1170,AARS2,1
1171,CCDC86,114
1172,TBL3,28
1173,NCR2,115
1174,ATP5O,88
1175,HOXD10,92
1176,HSPH1,4
1177,PDHA1,75
1178,PSMB2,93
1179,ARF3,18
1180,ZNF572,44
1181,C1QL4,11
1182,KIF5A,33
1183,CLTC,33
1184,HS3ST2,63
1185,ETAA1,115
1186,KCNB1,46
1187,NRF1,13
1188,HMX2,107
1189,YIPF6,112
1190,C14orf79,54
1191,TMED1.1,131
1192,MIR429,57
1193,C7orf47,50
1194,CFL1,5
1195,HMX2.1,64
1196,NUS1,108
1197,RHOD,43
1198,ANKRD9,1
1199,GADD45B,19
1200,MYH3.1,5
1201,PDGFC,61
1202,SAMM50.1,1
1203,OIT3,1
1204,ANKRD26.1,21
1205,TSFM,44
1206,LOC148709,28
1207,MAPK4,97
1208,KCNQ1,48
1209,GALNT14.1,42
1210,ACBD7,31
1211,CDH10,90
1212,ZKSCAN1,61
1213,ALG6,74
1214,BCL2L13.1,81
1215,DKFZp761E198,4
1216,YIPF6.1,14
1217,CDON,14
1218,MIR124.2,90
1219,NEUROD2.1,1
1220,CHRND,131
1221,TTC25,88
1222,C12orf54,42
1223,IFITM4P,104
1224,SLC36A1,84
1225,PTPN1,30
1226,EP400NL,128
1227,TMEM55A,23
1228,DCP1B,85
1229,NKX2.6,130
1230,RNF2,2
1231,CDH3,75
1232,FAM132A,114
1233,PGLYRP2,1
1234,DHX33,56
1235,COMP,105
1236,C3orf19,50
1237,LRPPRC,1
1238,TTC29.1,126
1239,DPAGT1,101
1240,SND1,97
1241,SNHG11,23
1242,WDR19.1,99
1243,ZNF814,126
1244,COBLL1,37
1245,C14orf39,79
1246,FAM109A,49
1247,CCNH,72
1248,ANKRD40,83
1249,SLC27A1.1,23
1250,PPIB,105
1251,PTGS2,9
1252,EOMES,1
1253,ZC3HAV1L,79
1254,GAL3ST4,14
1255,ZNF101,8
1256,OR2D3,123
1257,ANO10,1
1258,PTTG1IP,110
1259,PWP1.1,37
1260,CNOT6,72
1261,CAMK1.1,23
1262,CCDC63,70
1263,ELOVL4,31
1264,TFE3,18
1265,GALNT11,90
1266,HIST1H1D,33
1267,SORD,40
1268,CENPB,8
1269,PNPLA5,103
1270,LUC7L2,25
1271,VANGL2,21
1272,PSMC1,107
1273,HERC3.1,73
1274,C13orf18,29
1275,NEURL3.2,131
1276,ANXA4,50
1277,MCCC1.1,27
1278,SYT5,25
1279,BCDIN3D.1,11
1280,HOXD9.1,126
1281,UNC5B,87
1282,SEC11A,13
1283,OCEL1,58
1284,TP53BP1.1,1
1285,GTPBP4,117
1286,MED4,64
1287,POM121L9P,114
1288,SOX17,110
1289,CDH10.1,13
1290,FAM83B,75
1291,HIST1H4K,20
1292,ANKRD34C,87
1293,WHSC2,103
1294,ANKRD23,18
1295,VIT,89
1296,TBPL2,103
1297,SNORD116.24,66
1298,ZNF300,122
