,feature,Ranking
1316,BSDC1,44
1317,BSG,22
1318,BSN,58
1319,BSND,1
1320,BSPH1,57
1321,BSPRY,1
1322,BST1,6
1323,BST2,46
1324,BSX,21
1325,BTAF1,47
1326,BTBD1,19
1327,BTBD10,60
1328,BTBD11,28
1329,BTBD16,48
1330,BTBD18,14
1331,BTBD19,29
1332,BTBD2,8
1333,BTBD3,11
1334,BTBD6,30
1335,BTBD7,31
1336,BTBD8,29
1337,BTBD9,45
1338,BTC,41
1339,BTD,35
1340,BTF3,42
1341,BTF3L4,28
1342,BTG1,2
1343,BTG2,1
1344,BTG3,26
1345,BTG4,51
1346,BTK,1
1347,BTLA,45
