,feature,Ranking
701,APPBP2,8
702,APPL1,142
703,APPL2,44
704,APTX,38
705,AQP1,44
706,AQP10,43
707,AQP11,72
708,AQP2,26
709,AQP3,79
710,AQP4,66
711,AQP5,2
712,AQP6,33
713,AQP7,43
714,AQP8,77
715,AQP9,135
716,AQR,39
717,AR,38
718,ARAF,30
719,ARAP1,39
720,ARAP2,87
721,ARAP3,112
722,ARCN1,104
723,ARF1,79
724,ARF3,17
725,ARF4,75
726,ARF5,140
727,ARFGAP1,2
728,ARFGAP3,18
729,ARFGEF1,41
730,ARFGEF2,43
731,ARFIP1,93
732,ARFIP2,106
733,ARG1,96
734,ARG2,82
735,ARGFX,106
736,ARGLU1,63
737,ARHGAP1,135
738,ARHGAP10,106
739,ARHGAP11A,27
740,ARHGAP12,64
741,ARHGAP15,135
742,ARHGAP17,41
743,ARHGAP18,112
744,ARHGAP19,49
745,ARHGAP20,56
746,ARHGAP21,147
747,ARHGAP22,5
748,ARHGAP23,5
749,ARHGAP24,137
750,ARHGAP25,144
751,ARHGAP26,103
752,ARHGAP27,4
753,ARHGAP28,82
754,ARHGAP29,29
755,ARHGAP30,140
756,ARHGAP31,147
757,ARHGAP32,56
758,ARHGAP33,65
759,ARHGAP36,1
760,ARHGAP4,26
761,ARHGAP42,2
762,ARHGAP5,115
763,ARHGAP6,38
764,ARHGAP8,29
765,ARHGAP9,88
766,ARHGDIB,78
767,ARHGEF1,111
768,ARHGEF10,26
769,ARHGEF10L,89
770,ARHGEF11,89
771,ARHGEF12,133
772,ARHGEF15,64
773,ARHGEF16,60
774,ARHGEF17,6
775,ARHGEF18,7
776,ARHGEF19,74
777,ARHGEF2,111
778,ARHGEF3,109
779,ARHGEF33,120
780,ARHGEF37,130
781,ARHGEF38,112
782,ARHGEF4,94
783,ARHGEF6,9
784,ARHGEF7,40
785,ARHGEF9,18
786,ARID1A,45
787,ARID1B,127
788,ARID2,13
789,ARID3A,48
790,ARID3B,62
791,ARID3C,89
792,ARID4A,51
793,ARID4B,75
794,ARID5A,143
795,ARID5B,144
796,ARIH1,123
